Start Time,End Time,door_A,sens3_A,sens4_A,sens2_A,sens1_A,door_B,sens4_B,sens3_B,sens2_B,sens1_B,door_C,sens4_C,sens2_C,sens3_C,sense1_C,door_D,sens1_D,sens3_D,sens2_D,sens4_D,Label
2022-09-06 08:13:36.151241963,2022-09-06 08:13:44.565455525,,,1,,1,,,,,,,,,,,,,,,,A
2022-09-06 08:15:38.393882649,2022-09-06 08:15:50.086270802,,,1,,1,1,,,,,,,,,,,,,,,A
2022-09-06 08:17:01.914697926,2022-09-06 08:17:04.536018269,,,,,,,1,,1,,,,,,,,,,,,B
2022-09-06 08:17:34.536018269,2022-09-06 08:17:34.536018269,,,,,,,,,1,,,,,,,,,,,,B
2022-09-06 08:18:04.536018269,2022-09-06 08:18:13.607086079,,,,,,,,1,1,,,,,,,,,,,,B
2022-09-06 08:18:43.607086079,2022-09-06 08:18:43.607086079,,,,,,,,1,,,,,,,,,,,,,B
2022-09-06 08:19:13.607086079,2022-09-06 08:19:13.607086079,,,,,,,,1,,,,,,,,,,,,,B
2022-09-06 08:19:43.607086079,2022-09-06 08:19:43.607086079,,,,,,,,1,,,,,,,,,,,,,B
2022-09-06 08:20:01.228406422,2022-09-06 08:20:06.263940327,,,,,,,,,1,1,,,,,,,,,,,B
2022-09-06 08:20:36.263940327,2022-09-06 08:20:36.263940327,,,,,,,,,,1,,,,,,,,,,,B
2022-09-06 08:21:06.263940327,2022-09-06 08:21:06.263940327,,,,,,,,,,1,,,,,,,,,,,B
2022-09-06 08:21:36.263940327,2022-09-06 08:21:36.263940327,,,,,,,,,,1,,,,,,,,,,,B
2022-09-06 08:22:06.263940327,2022-09-06 08:22:20.991862385,,,,,,,1,,,1,1,,,,1,,,,,,B
2022-09-06 08:22:50.991862385,2022-09-06 08:22:50.991862385,,,,,,,,,,,,,,,1,,,,,,C
2022-09-06 08:23:20.991862385,2022-09-06 08:23:20.991862385,,,,,,,,,,,,,,,1,,,,,,C
2022-09-06 08:26:31.234503071,2022-09-06 08:26:31.234503071,,,,,,,,,,,,1,,,,,,,,,C
2022-09-06 08:28:40.891357319,2022-09-06 08:28:40.891357319,,,,,,,,,,,,,,1,,,,,,,C
2022-09-06 08:29:10.891357319,2022-09-06 08:29:10.891357319,,,,,,,,,,,,,,1,,,,,,,C
2022-09-06 08:29:40.891357319,2022-09-06 08:29:40.891357319,,,,,,,,,,,,,,1,,,,,,,C
2022-09-06 08:30:10.891357319,2022-09-06 08:30:13.098464100,,,,,,,,,,,,,1,1,,,,,,,C
